"borough","stations","g_stations","b_area","g_area"
"Manhattan",152,64,58.6,10.36
"Brooklyn",167,38,180.24,15.43
"Queens",80,18,282.3,21.5
"Bronx",71,20,108.86,22.69
"Staten Island",0,0,150.87,25.97
